from	to	r.direct	r.footnote	r.attitude	r.specific
Draft 1923_1923/1	Germany 1919	false	false	null	false
Draft 1923_1923/2 (1)	Austria 1920	true	false	null	false
Draft 1923_1923/2 (1)	Book of Mencius	true	false	positive	false
Draft 1923_1923/2 (1)	Constitutions of Modern Nations	true	false	null	false
Draft 1923_1923/2 (1)	Czechoslovakia 1920	false	false	null	false
Draft 1923_1923/2 (1)	Czechoslovakia 1920	true	false	null	false
Draft 1923_1923/2 (1)	Ecuador 1929	true	false	null	false
Draft 1923_1923/2 (1)	Estonia 1920	true	false	null	false
Draft 1923_1923/2 (1)	Far Eastern Republic/Chita 1920	true	false	null	false
Draft 1923_1923/2 (1)	Germany 1919	false	false	null	false
Draft 1923_1923/2 (1)	Germany 1919	true	false	null	false
Draft 1923_1923/2 (1)	Honduras 1924	true	false	null	false
Draft 1923_1923/2 (1)	Lithuania 1928	true	false	null	false
Draft 1923_1923/2 (1)	Mexico 1917	true	false	null	false
Draft 1923_1923/2 (1)	Netherlands 1922	true	false	null	false
Draft 1923_1923/2 (1)	Peru 1933	true	false	null	false
Draft 1923_1923/2 (1)	Poland 1921	false	false	null	false
Draft 1923_1923/2 (1)	Poland 1921	true	false	null	false
Draft 1923_1923/2 (1)	Portugal 1911	false	false	null	false
Draft 1923_1923/2 (1)	Portugal 1911	true	false	null	false
Draft 1923_1923/2 (1)	Portugal 1933	true	false	null	false
Draft 1923_1923/2 (1)	Pre-Qin Scholars	true	false	positive	false
Draft 1923_1923/2 (1)	Romania 1923	true	false	null	false
Draft 1923_1923/2 (1)	Spain 1931	true	false	null	false
Draft 1923_1923/2 (1)	Switzerland 1874	true	false	null	false
Draft 1923_1923/2 (1)	The Covenant of the League of Nations 1920	true	false	null	false
Draft 1923_1923/2 (1)	The Soviet Russia 1918	true	false	null	false
Draft 1923_1923/2 (1)	The Soviet Union 1936	true	false	null	false
Draft 1923_1923/2 (1)	Treaty of Versailles	true	false	null	false
Draft 1923_1923/2 (1)	Yugoslavia 1931	true	false	null	false
Draft 1923_1923/2 (2)	Austria 1920	true	false	null	false
Draft 1923_1923/2 (2)	Constitutions of Modern Nations	true	false	null	false
Draft 1923_1923/2 (2)	Czechoslovakia 1920	true	false	null	false
Draft 1923_1923/2 (2)	Ecuador 1929	true	false	null	false
Draft 1923_1923/2 (2)	Estonia 1920	true	false	null	false
Draft 1923_1923/2 (2)	Far Eastern Republic/Chita 1920	true	false	null	false
Draft 1923_1923/2 (2)	Germany 1919	true	false	null	false
Draft 1923_1923/2 (2)	Germany 1919	false	false	null	false
Draft 1923_1923/2 (2)	Honduras 1924	true	false	null	false
Draft 1923_1923/2 (2)	Lithuania 1928	true	false	null	false
Draft 1923_1923/2 (2)	Mexico 1917	true	false	null	false
Draft 1923_1923/2 (2)	Netherlands 1922	true	false	null	false
Draft 1923_1923/2 (2)	Peru 1933	true	false	null	false
Draft 1923_1923/2 (2)	Poland 1921	true	false	null	false
Draft 1923_1923/2 (2)	Poland 1921	false	false	null	false
Draft 1923_1923/2 (2)	Portugal 1911	true	false	null	false
Draft 1923_1923/2 (2)	Portugal 1933	true	false	null	false
Draft 1923_1923/2 (2)	Romania 1923	true	false	null	false
Draft 1923_1923/2 (2)	Spain 1931	true	false	null	false
Draft 1923_1923/2 (2)	Switzerland 1874	true	false	null	false
Draft 1923_1923/2 (2)	The Covenant of the League of Nations 1920	true	false	null	false
Draft 1923_1923/2 (2)	The Soviet Russia 1918	true	false	null	false
Draft 1923_1923/2 (2)	The Soviet Union 1936	true	false	null	false
Draft 1923_1923/2 (2)	Treaty of Versailles	true	false	null	false
Draft 1923_1923/2 (2)	Yugoslavia 1931	true	false	null	false
Draft 1923_1923/2 (3)	Germany 1919	false	false	null	false
Draft 1923_1923/2 (4)	Austria 1920	true	false	null	false
Draft 1923_1923/2 (4)	Constitutions of Modern Nations	true	false	null	false
Draft 1923_1923/2 (4)	Czechoslovakia 1920	true	false	null	false
Draft 1923_1923/2 (4)	Ecuador 1929	true	false	null	false
Draft 1923_1923/2 (4)	Estonia 1920	true	false	null	false
Draft 1923_1923/2 (4)	Far Eastern Republic/Chita 1920	true	false	null	false
Draft 1923_1923/2 (4)	Germany 1919	true	false	null	false
Draft 1923_1923/2 (4)	Germany 1919	false	false	null	false
Draft 1923_1923/2 (4)	Honduras 1924	true	false	null	false
Draft 1923_1923/2 (4)	Lithuania 1928	true	false	null	false
Draft 1923_1923/2 (4)	Mexico 1917	true	false	null	false
Draft 1923_1923/2 (4)	Netherlands 1922	true	false	null	false
Draft 1923_1923/2 (4)	Peru 1933	true	false	null	false
Draft 1923_1923/2 (4)	Poland 1921	true	false	null	false
Draft 1923_1923/2 (4)	Portugal 1911	true	false	null	false
Draft 1923_1923/2 (4)	Portugal 1933	true	false	null	false
Draft 1923_1923/2 (4)	Romania 1923	true	false	null	false
Draft 1923_1923/2 (4)	Spain 1931	true	false	null	false
Draft 1923_1923/2 (4)	Switzerland 1874	true	false	null	false
Draft 1923_1923/2 (4)	The Covenant of the League of Nations 1920	true	false	null	false
Draft 1923_1923/2 (4)	The Soviet Russia 1918	true	false	null	false
Draft 1923_1923/2 (4)	The Soviet Union 1936	true	false	null	false
Draft 1923_1923/2 (4)	Treaty of Versailles	true	false	null	false
Draft 1923_1923/2 (4)	Yugoslavia 1931	true	false	null	false
Draft 1923_1923/3 (1)	Ancient Poetry	true	false	positive	false
Draft 1923_1923/3 (1)	Book of Changes	true	false	positive	false
Draft 1923_1923/3 (1)	Book of Han	true	false	positive	false
Draft 1923_1923/3 (1)	Book of Mencius	true	false	positive	false
Draft 1923_1923/3 (1)	Germany 1919	false	false	null	false
Draft 1923_1923/3 (1)	The Soviet Russia 1918	false	false	null	false
Draft 1923_1923/3 (2)	Book of Mencius	true	false	positive	false
Draft 1923_1923/3 (2)	Book of Rites	true	false	positive	false
Draft 1923_1923/3 (3)	Book of Mencius	true	false	positive	false
Draft 1923_1923/3 (3)	Book of Rites	true	false	positive	false
Draft 1923_1923/4	Austria 1920	true	false	null	false
Draft 1923_1923/4	Constitutions of Modern Nations	true	false	null	false
Draft 1923_1923/4	Czechoslovakia 1920	true	false	null	false
Draft 1923_1923/4	Ecuador 1929	true	false	null	false
Draft 1923_1923/4	Estonia 1920	true	false	null	false
Draft 1923_1923/4	Far Eastern Republic/Chita 1920	true	false	null	false
Draft 1923_1923/4	Germany 1919	true	false	null	false
Draft 1923_1923/4	Germany 1919	false	false	null	false
Draft 1923_1923/4	Honduras 1924	true	false	null	false
Draft 1923_1923/4	Lithuania 1928	true	false	null	false
Draft 1923_1923/4	Mexico 1917	true	false	null	false
Draft 1923_1923/4	Netherlands 1922	true	false	null	false
Draft 1923_1923/4	Peru 1933	true	false	null	false
Draft 1923_1923/4	Poland 1921	true	false	null	false
Draft 1923_1923/4	Portugal 1911	true	false	null	false
Draft 1923_1923/4	Portugal 1933	true	false	null	false
Draft 1923_1923/4	Romania 1923	true	false	null	false
Draft 1923_1923/4	Spain 1931	true	false	null	false
Draft 1923_1923/4	Switzerland 1874	true	false	null	false
Draft 1923_1923/4	The Covenant of the League of Nations 1920	true	false	null	false
Draft 1923_1923/4	The Covenant of the League of Nations 1920	false	false	null	false
Draft 1923_1923/4	The Soviet Russia 1918	true	false	null	false
Draft 1923_1923/4	The Soviet Union 1936	true	false	null	false
Draft 1923_1923/4	Treaty of Versailles	true	false	null	false
Draft 1923_1923/4	Yugoslavia 1931	true	false	null	false
Draft 1923_1923/5	Austria 1920	true	false	null	false
Draft 1923_1923/5	Constitutions of Modern Nations	true	false	null	false
